company,contact_name,email,phone,address,city,state,agency,bid_title,bid_number
"All City Managment Services, Inc.",David Mecusker,david@thecrossingguardcompany.com,310-202-8284 ext. 107,"11643 Telegraph Road, Fax: 310-202-8325",Santa Fe Springs,California,City of Mountain View,Crossing Guard Services R262001,
Allied Solutions,Jason Collier,contracts@alliedsolutionenterprise.com,877-328-4432,300 Veterans Way,Carmel,Indiana,City of Mountain View,Crossing Guard Services R262001,
BMC23 Security LLC,Isaac Martineau,info@bmc23securityllc.com,351-667-2097,"300 Baker Ave, suite 300",Concord,Massachusetts,City of Mountain View,Crossing Guard Services R262001,
carlc@palisade-security.com,Carl Cunningham,carlc@palisade-security.com,415-760-8116,"10207 Palisades Dr, Unit 2",Truckee,California,City of Mountain View,Crossing Guard Services R262001,
Diligence Security Group,Joy Baucom,joy@diligencesecuritygroup.com,510-710-5806,66 Franklin Street Suite 300,Oakland,California,City of Mountain View,Crossing Guard Services R262001,
Floral Park Consulting LLC,Jack Brownes,jackbrownes32@gmail.com,512-730-1419,"30, Irving Ave",New York,New York,City of Mountain View,Crossing Guard Services R262001,
"Rowe Solutions, INC",francis,frank@therowesolution.com,619-797-5315,3687 ocean front walk,san diego,California,City of Mountain View,Crossing Guard Services R262001,
"Security Guards of America, Inc",David Newman,info@securityguardsofamerica.com,800-747-5145,"15233 Ventura Blvd Ste 500, Suite 500",Sherman Oaks,California,City of Mountain View,Crossing Guard Services R262001,
Bayman Construction LLC,Emil Yahyabeik,emil@baymanconstruction.com,916-289-5641,525 Safari Dr.,San Jose,California,City of Mountain View,Court Resurfacing and Related Maintenance Services R261817,
Builders Exchange of Santa Clara,Kanani Fonseca,kf@bxscco.com,408-727-4000,400 Reed Street,Santa Clara,California,City of Mountain View,Court Resurfacing and Related Maintenance Services R261817,
First Serve Productions Inc,Chanel Johnson,chanel@firstservepro.com,925-202-5228,1550 Ridgemore Drive,Meadow Vista,California,City of Mountain View,Court Resurfacing and Related Maintenance Services R261817,
Silicon Valley Paving Inc,Matthew Slyngstad,Matthew@svpinc.com,408-210-1329,PO 26558,San Jose,California,City of Mountain View,Court Resurfacing and Related Maintenance Services R261817,
Socal Concrete Cleaners LLC,Connor Nex,info@socalconcretecleaners.com,951-595-0061,"41606 Date st, STE 201",Murrieta,California,City of Mountain View,Court Resurfacing and Related Maintenance Services R261817,
99 North Construction & Plumbing,Denis Climov,climovdenis@icloud.com,415-650-6503,"4651 Melody Dr, Fax: 415-650-6503",Concord,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
"ACCO Engineered Systems, Inc.",Alex Cherry,acherry@accoes.com,408-857-9292,"1810 Gateway Dr, Suite 260, Ste G",San Mateo,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
Brannon Corporation,Amina Taiyab,amina@brannondemo.com,408-294-2910,10492 Dougherty Avenue,Morgan Hill,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
Carollo Engineers,Emile,mktg_nocal@carollo.com,925-932-1710,2795 Mitchell Drive,Walnut Creek,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
"Casey Construction, Inc.",James G McGrillen,bids@caseyconstructioninc.com,650-369-1876,619 Sylvan Way,Emerald Hills,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
Covenant Technical Solutions,Russell Hague,Estimating@CovenantTechnical.com,714-335-4049,668 Glen Rd,Danville,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
D. W. Nicholson Corporation,Joseph Santens,acurtis@dwnicholson.com,510-723-0759,"24747 Clawiter Road, Fax: 510-783-5736",Hayward,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
"E-Technologies Group, LLC",Angelo Puglisi,apuglisi@etechgroup.com,925-209-9087,8614 Jacquemin Drive,West Chester,Ohio,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
"GSA Contract Services, LLC",Sarah Vine,Sarah.vine@mgbids.com,202-208-7019,4622 Cedar Avenue #123,Wilmington,North Carolina,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
GSE Construction Company Inc.,Nate Jones,estimating@gseconstruction.com,925-447-0292,"7633 Southfront Road, Suite 160",Livermore,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
"Imperial Maintenance Services, Inc.",Alfonso Solis,imperialmaint@aol.com,916-267-5473,2659 Country Club Court,Stockton,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
Monterey Mechanical Co.,Jillian,j.galletti@montmech.com,510-636-4335 ext. 135,"8275 San Leandro St, Fax: 510-632-0732",Oakland,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
"Pipe and Plant Solutions, Inc.",Remo Tocchini,bids@pipeandplant.com,888-978-8264,23286 Foley Street,Hayward,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
SAN FRANCISCO BUILDERS EXCHANGE,DEANNA JOHNSON,DJOHNSONSF@SBCGLOBAL.NET,415-282-8220,"850 S VAN NESS AVE, Fax: 415-821-0363",SAN FRANCISCO,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
"Tetra Tech, Inc.",James Pham,james.pham@tetratech.com,619-357-1302,3475 E Foothill Blvd,Pasadena,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
True Blue Automation Services,Berk Gurkan,berk@tbautomationservices.com,925-808-7331,6200 Stoneridge Mall Road Suite 300,Pleasanton,California,City of Sunnyvale,On-Call Mechanical Maintenance and Repair Services RFQL,F26-143
ALL AMERICAN BUILDING SERVICES,ANTHONY INNABI,Bids@allamericanrebuild.com,909-368-0773,"PO Box 802586, 9093680773",Santa Clarita,California,City of Sunnyvale,WPCP Oxidation Pond Levee Rehabilitation 2025 IFB,PW26-08
Andreini Bros. Inc.,Rachel Pereza,rachel@andreinibros.com,650-726-2065,151 Main Street,Half Moon Bay,California,City of Sunnyvale,WPCP Oxidation Pond Levee Rehabilitation 2025 IFB,PW26-08
Bayscape Management Inc.,Matt Ellington,alexp@bayscape.net,408-288-2940,PO Box 880,Alviso,California,City of Sunnyvale,WPCP Oxidation Pond Levee Rehabilitation 2025 IFB,PW26-08
ConstructConnect,Michael Stubbs,content@constructconnect.com,800-364-2059,"3825 Edwards Road, Suite 800",Cincinnati,Ohio,City of Sunnyvale,WPCP Oxidation Pond Levee Rehabilitation 2025 IFB,PW26-08
Galeb Paving Inc,Lee Pellicciotti,Lee@galebpaving.com,408-253-4747,12340 Saratoga - Sunnyvale Road,Saratoga,California,City of Sunnyvale,WPCP Oxidation Pond Levee Rehabilitation 2025 IFB,PW26-08
"Goodfellow Bros. California, LLC",Darren Wilhoit,estimatingcapw@goodfellowbros.com,925-449-5764,"50 Contractors Street, Fax: 925-449-5875",Livermore,California,City of Sunnyvale,WPCP Oxidation Pond Levee Rehabilitation 2025 IFB,PW26-08
Granite Construction Company,John G. Boies,patricia.arnett@gcinc.com,408-327-7000,"715 Comstock Street, Fax: 408-327-7090",Santa Clara,California,City of Sunnyvale,WPCP Oxidation Pond Levee Rehabilitation 2025 IFB,PW26-08
Granite Rock Company,Bryan Jones,estimating@graniterock.com,408-574-1400,"5225 Hellyer Avenue, Suite 220",San Jose,California,City of Sunnyvale,WPCP Oxidation Pond Levee Rehabilitation 2025 IFB,PW26-08
Kavanagh Construction Company,Shane Kavanagh,shane@kavanaghcc.com,650-964-1640,1124 Independence Avenue,Mountain View,California,City of Sunnyvale,WPCP Oxidation Pond Levee Rehabilitation 2025 IFB,PW26-08
San Jose Conservation Corps,Robert Walker,rwalker@sjcccs.org,650-796-1054,1560 Berger Drive,San Jose,California,City of Sunnyvale,WPCP Oxidation Pond Levee Rehabilitation 2025 IFB,PW26-08
